mart,cube,field_type,check,dataset_name,dim,attr_hier,lvl_memb,all_memb,param_name
CDI,CDI,columns,default,Vital Stats,Measures,VS Death Count,NA,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - ID,Unique ID,Unique ID,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - Cause of Death - Underlying,UCD Code Hierarchy,UCD 5Char Code,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats,VS - Date - Death,Date,Date,NA,NA
CDI,CDI,rows,default,Vital Stats,CDI - Gender,Sex,Sex,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - Age at Death,Age Year,Age Year,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - Age at Death,Age Group 07,Age Group 07,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - Age at Death,Age Group Population,Age Group Population,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - Place of Injury Type,Place of Injury Type,Place of Injury Type,NA,NA
CDI,CDI,rows,default,Vital Stats,VS - Geo - Residential Location Region,VS Residential Location Health Authorities,VS Residential Location LHA,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats,VS - Geo - Death Location Region,VS Death Location Health Authorities,VS Death Location LHA,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats,VS - Geo - Residential Location Census - 2011,VS Residential Location Census - 2011,VS Residential Dissemination Area,ALLMEMBERS,NA
CDI,CDI,rows,default,Vital Stats,VS - Geo - Death Location Census - 2011,VS Death Location Census - 2011,VS Death Location Dissemination Area,ALLMEMBERS,NA
CDI,CDI,filter_d,none,Vital Stats,VS - Cause of Death - Underlying,UCD 3Char Code,UCD 3Char Code,NA,ucd_3_char_code
CDI,CDI,filter_d,none,Vital Stats,VS - Cause of Death - Contributing,CCD 3Char Code,CCD 3Char Code,NA,ccd_3_char_code
CDI,CDI,filter_d,none,Vital Stats,VS - Geo - Residential Location Region,VS Residential Location HA,VS Residential Location HA,NA,residential_location_ha
CDI,CDI,filter_d,none,Vital Stats,VS - Geo - Death Location Region,VS Death Location HA,VS Death Location HA,NA,death_location_ha
CDI,CDI,filter_r,none,Vital Stats,VS - Date - Death,Date,Date,NA,query_date
CDI,CDI,columns,default,Vital Stats CCD,Measures,VS Death Count,NA,NA,NA
CDI,CDI,rows,default,Vital Stats CCD,VS - ID,Unique ID,Unique ID,NA,NA
CDI,CDI,rows,default,Vital Stats CCD,VS - Cause of Death - Contributing,CCD Code Hierarchy,CCD 5Char Code,ALLMEMBERS,NA
CDI,CDI,filter_d,none,Vital Stats CCD,VS - Cause of Death - Underlying,UCD 3Char Code,UCD 3Char Code,NA,ucd_3_char_code
CDI,CDI,filter_d,none,Vital Stats CCD,VS - Cause of Death - Contributing,CCD 3Char Code,CCD 3Char Code,NA,ccd_3_char_code
CDI,CDI,filter_d,none,Vital Stats CCD,VS - Geo - Residential Location Region,VS Residential Location HA,VS Residential Location HA,NA,residential_location_ha
CDI,CDI,filter_d,none,Vital Stats CCD,VS - Geo - Death Location Region,VS Death Location HA,VS Death Location HA,NA,death_location_ha
CDI,CDI,filter_r,none,Vital Stats CCD,VS - Date - Death,Date,Date,NA,query_date
